,alpha_gross_units,units,abs_pct_err,abs_err
AZ4JBTS,0.0,0.0,0.0,0.0
AZ6MRCQ,27.0,0.0,0.9642857142857143,27.0
AZEZTN7,1.0,0.0,0.5,1.0
AZGZUAZ,0.0,0.0,0.0,0.0
AZUPTTZ,0.0,0.0,0.0,0.0
AZVCJHZ,0.0,0.0,0.0,0.0
AZWKQGX,0.0,0.0,0.0,0.0
B3SBGAG,0.0,0.0,0.0,0.0
B3VS24W,33394.0,4010.0,0.8798921994310526,29384.0
B5ED82D,0.0,0.0,0.0,0.0
B5Q2UFU,0.0,0.0,0.0,0.0
B6ZVSZ9,0.0,0.0,0.0,0.0
B79HS7M,2806.0,2139.0,0.23762023512646954,667.0
B7CUZH3,0.0,0.0,0.0,0.0
B7DHBZF,0.0,0.0,0.0,0.0
B7RSNMF,0.0,0.0,0.0,0.0
B7VQJHY,0.0,0.0,0.0,0.0
B83S7H6,0.0,0.0,0.0,0.0
B84XVGN,152.0,137.0,0.09803921568627451,15.0
B9ADCJN,21.0,16.0,0.22727272727272727,5.0
B9HPZST,16.0,17.0,0.058823529411764705,1.0
BA6ZBT9,10.0,8.0,0.18181818181818182,2.0
BAEAUHC,0.0,0.0,0.0,0.0
BAHH4Y8,0.0,0.0,0.0,0.0
BAKMGGS,1736.0,174.0,0.899251583189407,1562.0
BAQMGBX,0.0,0.0,0.0,0.0
BAU8ACF,0.0,0.0,0.0,0.0
BBGGFZY,0.0,0.0,0.0,0.0
BBQZYMA,0.0,0.0,0.0,0.0
BBS2BBF,0.0,0.0,0.0,0.0
BCAQYPR,0.0,0.0,0.0,0.0
BCGNZQG,0.0,0.0,0.0,0.0
BD3ARH2,0.0,0.0,0.0,0.0
BDFVWDH,78.0,64.0,0.17721518987341772,14.0
BDHQ9TC,8.0,8.0,0.0,0.0
BE6DJG6,15.0,11.0,0.25,4.0
BEMEBHK,1.0,0.0,0.5,1.0
BFMRG2Y,0.0,0.0,0.0,0.0
BFXXMCH,5.0,2.0,0.5,3.0
BFZR3UR,4107.0,1092.0,0.7339337877312561,3015.0
BGHNMVB,0.0,0.0,0.0,0.0
BGMBW25,0.0,45.0,45.0,45.0
BGTXSGU,2.0,4.0,0.6666666666666666,2.0
BGZGG58,0.0,0.0,0.0,0.0
BH3G73H,7945.0,2912.0,0.6334004530581424,5033.0
BH3GZ4E,0.0,0.0,0.0,0.0
BH6SAFP,0.0,0.0,0.0,0.0
BH9YKVE,0.0,0.0,0.0,0.0
BHHQ3RB,2.0,1.0,0.3333333333333333,1.0
BHMFUX9,8.0,5.0,0.3333333333333333,3.0
BHNYPSH,1116.0,230.0,0.7931960608773501,886.0
BHPRDDN,28.0,20.0,0.27586206896551724,8.0
BHQZMC9,0.0,0.0,0.0,0.0
BHSYBBW,0.0,0.0,0.0,0.0
BHUA4QH,0.0,0.0,0.0,0.0
BJVSW22,243.0,85.0,0.6475409836065574,158.0
BKEZWRN,22.0,23.0,0.043478260869565216,1.0
BKHW3JH,0.0,0.0,0.0,0.0
BKMH4BF,0.0,0.0,0.0,0.0
BKQJBNG,41.0,17.0,0.5714285714285714,24.0
BKSNUUR,0.0,0.0,0.0,0.0
BKUEVM6,127.0,87.0,0.3125,40.0
BMMHEPC,0.0,0.0,0.0,0.0
BMYRFBK,5.0,0.0,0.8333333333333334,5.0
BNPWJYR,187.0,75.0,0.5957446808510638,112.0
BNWPZJR,0.0,0.0,0.0,0.0
BNXD9SJ,0.0,0.0,0.0,0.0
BPGQX3C,0.0,0.0,0.0,0.0
BPVCDW6,256.0,280.0,0.0933852140077821,24.0
BQ9YW4T,4.0,2.0,0.4,2.0
BQH39E7,0.0,0.0,0.0,0.0
BQN5F9J,0.0,0.0,0.0,0.0
BRGJBKH,0.0,0.0,0.0,0.0
BRKYFJD,0.0,0.0,0.0,0.0
BRWUHBF,0.0,0.0,0.0,0.0
BSH9NJG,0.0,0.0,0.0,0.0
BSKHQN4,0.0,0.0,0.0,0.0
BSRG2X8,0.0,0.0,0.0,0.0
BSV9FG6,2.0,4.0,0.6666666666666666,2.0
BT7R94Y,0.0,0.0,0.0,0.0
BTFGN7F,1.0,0.0,0.5,1.0
BTJYC5J,0.0,0.0,0.0,0.0
BTJYGZG,0.0,0.0,0.0,0.0
BTXPTRR,0.0,0.0,0.0,0.0
BUUHFNF,0.0,0.0,0.0,0.0
BUYWPT4,0.0,0.0,0.0,0.0
BVDJ8VV,0.0,11.0,11.0,11.0
BVHDHY8,0.0,0.0,0.0,0.0
BWTVPZS,0.0,0.0,0.0,0.0
BXJYQTU,0.0,0.0,0.0,0.0
BXJZZF9,0.0,0.0,0.0,0.0
BXSTBDU,310.0,127.0,0.5884244372990354,183.0
BYGHFHJ,0.0,0.0,0.0,0.0
BYHYY3D,45.0,27.0,0.391304347826087,18.0
BYTWTHE,0.0,0.0,0.0,0.0
BYYFCW4,0.0,0.0,0.0,0.0
BZ3VFHF,0.0,0.0,0.0,0.0
BZ6EPF2,1.0,0.0,0.5,1.0
BZ6ESFV,0.0,0.0,0.0,0.0
BZ9KZZ6,0.0,0.0,0.0,0.0
BZVTAGH,0.0,0.0,0.0,0.0
BZW6GGK,0.0,0.0,0.0,0.0
C23VGHM,0.0,0.0,0.0,0.0
C3WKZNU,0.0,0.0,0.0,0.0
C4PZP2X,0.0,0.0,0.0,0.0
C4VCJAY,0.0,0.0,0.0,0.0
C6DGJGH,0.0,0.0,0.0,0.0
C6NYQUR,4.0,6.0,0.4,2.0
C73QN7J,0.0,0.0,0.0,0.0
C8CUJZN,0.0,0.0,0.0,0.0
